block_id,dates_nonzero,mean_persons,max_persons,total_persons,area,lon,lat,st_east,st_north,persistence
STATE_ST_W_G_ST,5,0.4791666666666667,1.75,5.75,Marina,-117.1669646,32.7120126,STATE_ST,W_G_ST,0.4166666666666667
15TH_ST_BROADWAY,4,0.4791666666666667,2.0,5.75,East Village,-117.151185,32.7152297,15TH_ST,BROADWAY,0.3333333333333333
I-5_SB_ISLAND_AV,4,0.4716666666666667,2.66,5.66,East Village,-117.1481553,32.7099349,I-5_SB,ISLAND_AV,0.3333333333333333
STATE_ST_W_A_ST,2,0.4375,3.5,5.25,Columbia,-117.1669419,32.7182948,STATE_ST,W_A_ST,0.16666666666666666
15TH_ST_C_ST,3,0.4166666666666667,3.0,5.0,East Village,-117.1511898,32.7162738,15TH_ST,C_ST,0.25
07TH_AV_BEECH_ST,4,0.4166666666666667,2.0,5.0,Cortez,-117.1588194,32.7204099,07TH_AV,BEECH_ST,0.3333333333333333
04TH_AV_MARKET_ST,4,0.4166666666666667,2.0,5.0,Marina,-117.1614943,32.7109505,04TH_AV,MARKET_ST,0.3333333333333333
COLUMBIA_ST_W_ASH_ST,4,0.4166666666666667,2.0,5.0,Columbia,-117.1678351,32.7193473,COLUMBIA_ST,W_ASH_ST,0.3333333333333333
Map_Border_BROADWAY,4,0.4166666666666667,2.0,5.0,City Center,-117.1624423,32.7152117,Map_Border,BROADWAY,0.3333333333333333
10TH_AV_ASH_ST,2,0.4166666666666667,4.0,5.0,Cortez,-117.156102,32.7193903,10TH_AV,ASH_ST,0.16666666666666666
01ST_AV_W_A_ST,2,0.3333333333333333,3.0,4.0,City Center,-117.1642723,32.7182995,01ST_AV,W_A_ST,0.16666666666666666
11TH_AV_F_ST,2,0.3333333333333333,3.0,4.0,East Village,-117.1551366,32.7131258,11TH_AV,F_ST,0.16666666666666666
UNION_ST_W_B_ST,4,0.3333333333333333,1.0,4.0,Columbia,-117.1660315,32.7172451,UNION_ST,W_B_ST,0.3333333333333333
FRONT_ST_W_MARKET_ST,3,0.3333333333333333,2.0,4.0,Marina,-117.1662764,32.7106324,FRONT_ST,W_MARKET_ST,0.25
02ND_AV_ASH_ST,4,0.3333333333333333,1.0,4.0,Cortez,-117.1634028,32.7193655,02ND_AV,ASH_ST,0.3333333333333333
11TH_AV_J_ST,3,0.3333333333333333,2.0,4.0,East Village,-117.1551036,32.7088789,11TH_AV,J_ST,0.25
PARK_BL_ISLAND_AV,3,0.3333333333333333,2.0,4.0,East Village,-117.1541784,32.7099239,PARK_BL,ISLAND_AV,0.25
04TH_AV_I-5_SB,1,0.315,3.78,3.78,Cortez,-117.1616025,32.7222703,04TH_AV,I-5_SB,0.08333333333333333
KETTNER_BL_W_BROADWAY,2,0.3125,2.0,3.75,Columbia,-117.169627,32.7151597,KETTNER_BL,W_BROADWAY,0.16666666666666666
I-5_SB_ON_RA_E_ST,1,0.2916666666666667,3.5,3.5,East Village,-117.1484371,32.7141444,I-5_SB_ON_RA,E_ST,0.08333333333333333
17TH_ST_BROADWAY,2,0.2916666666666667,1.75,3.5,East Village,-117.1490277,32.7152345,17TH_ST,BROADWAY,0.16666666666666666
08TH_AV_DATE_ST,2,0.2525,2.03,3.03,Cortez,-117.1579578,32.7224837,08TH_AV,DATE_ST,0.16666666666666666
10TH_AV_DATE_ST,2,0.2525,2.03,3.03,Cortez,-117.1561138,32.7224867,10TH_AV,DATE_ST,0.16666666666666666
UNION_ST_W_F_ST,2,0.2525,2.03,3.03,Marina,-117.1660505,32.7130574,UNION_ST,W_F_ST,0.16666666666666666
06TH_AV_BEECH_ST,2,0.25,2.0,3.0,Cortez,-117.1597464,32.7204162,06TH_AV,BEECH_ST,0.16666666666666666
13TH_ST_C_ST,2,0.25,2.0,3.0,East Village,-117.1533446,32.716262,13TH_ST,C_ST,0.16666666666666666
TONY_GWYNN_DR_K_ST,3,0.25,1.0,3.0,East Village,-117.1587374,32.7078133,TONY_GWYNN_DR,K_ST,0.25
FRONT_ST_W_F_ST,2,0.25,2.0,3.0,Marina,-117.1651209,32.713051,FRONT_ST,W_F_ST,0.16666666666666666
FRONT_ST_W_BROADWAY,3,0.25,1.0,3.0,City Center,-117.1651688,32.7151745,FRONT_ST,W_BROADWAY,0.25
07TH_AV_CEDAR_ST,2,0.25,2.0,3.0,Cortez,-117.1588533,32.7214614,07TH_AV,CEDAR_ST,0.16666666666666666
10TH_AV_CEDAR_ST,2,0.22916666666666666,1.75,2.75,Cortez,-117.1561651,32.7214876,10TH_AV,CEDAR_ST,0.16666666666666666
KETTNER_BL_W_ASH_ST,2,0.22916666666666666,1.75,2.75,Columbia,-117.169622,32.7193394,KETTNER_BL,W_ASH_ST,0.16666666666666666
02ND_AV_MARKET_ST,2,0.16666666666666666,1.0,2.0,Marina,-117.1633132,32.7109377,02ND_AV,MARKET_ST,0.16666666666666666
PARK_BL_F_ST,2,0.16666666666666666,1.0,2.0,East Village,-117.1542287,32.7131312,PARK_BL,F_ST,0.16666666666666666
01ST_AV_W_BROADWAY,2,0.16666666666666666,1.0,2.0,City Center,-117.1642381,32.7151717,01ST_AV,W_BROADWAY,0.16666666666666666
COLUMBIA_ST_W_A_ST,2,0.16666666666666666,1.0,2.0,Columbia,-117.1678202,32.7182872,COLUMBIA_ST,W_A_ST,0.16666666666666666
FRONT_ST_W_G_ST,1,0.16666666666666666,2.0,2.0,Marina,-117.1651522,32.7120098,FRONT_ST,W_G_ST,0.08333333333333333
09TH_AV_ASH_ST,2,0.16666666666666666,1.0,2.0,Cortez,-117.1569963,32.7193836,09TH_AV,ASH_ST,0.16666666666666666
08TH_AV_ISLAND_AV,2,0.16666666666666666,1.0,2.0,East Village,-117.1578277,32.7099063,08TH_AV,ISLAND_AV,0.16666666666666666
01ST_AV_W_ASH_ST,2,0.16666666666666666,1.0,2.0,Cortez,-117.1642985,32.7193598,01ST_AV,W_ASH_ST,0.16666666666666666
09TH_AV_DATE_ST,1,0.16666666666666666,2.0,2.0,Cortez,-117.1570188,32.722482,09TH_AV,DATE_ST,0.08333333333333333
NATIONAL_AV_IMPERIAL_AV,2,0.16666666666666666,1.0,2.0,East Village,-117.1537259,32.7057792,NATIONAL_AV,IMPERIAL_AV,0.16666666666666666
I-5_SB_ON_RA_BROADWAY,1,0.14583333333333334,1.75,1.75,East Village,-117.1481113,32.7148705,I-5_SB_ON_RA,BROADWAY,0.08333333333333333
PARK_BL_RUSS_BL,1,0.08333333333333333,1.0,1.0,City Center,-117.1542576,32.7191273,PARK_BL,RUSS_BL,0.08333333333333333
01ST_AV_W_CEDAR_ST,1,0.08333333333333333,1.0,1.0,Cortez,-117.1643624,32.7214641,01ST_AV,W_CEDAR_ST,0.08333333333333333
09TH_AV_MARKET_ST,1,0.08333333333333333,1.0,1.0,East Village,-117.1569277,32.7109735,09TH_AV,MARKET_ST,0.08333333333333333
FRONT_ST_W_E_ST,1,0.08333333333333333,1.0,1.0,City Center,-117.1651413,32.7140973,FRONT_ST,W_E_ST,0.08333333333333333
08TH_AV_CEDAR_ST,1,0.08333333333333333,1.0,1.0,Cortez,-117.1579206,32.7214624,08TH_AV,CEDAR_ST,0.08333333333333333
CALIFORNIA_ST_W_BROADWAY,1,0.08333333333333333,1.0,1.0,Columbia,-117.1705741,32.715156,CALIFORNIA_ST,W_BROADWAY,0.08333333333333333
08TH_AV_A_ST,1,0.08333333333333333,1.0,1.0,City Center,-117.1579005,32.718341,08TH_AV,A_ST,0.08333333333333333
UNION_ST_W_G_ST,1,0.08333333333333333,1.0,1.0,Marina,-117.1660415,32.7120019,UNION_ST,W_G_ST,0.08333333333333333
UNION_ST_W_BROADWAY,1,0.08333333333333333,1.0,1.0,Columbia,-117.1660291,32.715158,UNION_ST,W_BROADWAY,0.08333333333333333
09TH_AV_BEECH_ST,1,0.08333333333333333,1.0,1.0,Cortez,-117.1570225,32.7204252,09TH_AV,BEECH_ST,0.08333333333333333
10TH_AV_BEECH_ST,1,0.08333333333333333,1.0,1.0,Cortez,-117.1561276,32.7204857,10TH_AV,BEECH_ST,0.08333333333333333
09TH_AV_CEDAR_ST,0,0.0,0.0,0.0,Cortez,-117.1570136,32.7214682,09TH_AV,CEDAR_ST,0.0
TONY_GWYNN_DR_L_ST,0,0.0,0.0,0.0,East Village,-117.1583317,32.7061663,TONY_GWYNN_DR,L_ST,0.0
01ST_AV_W_E_ST,0,0.0,0.0,0.0,City Center,-117.1642743,32.7141304,01ST_AV,W_E_ST,0.0
01ST_AV_W_G_ST,0,0.0,0.0,0.0,Marina,-117.164258,32.7120086,01ST_AV,W_G_ST,0.0
01ST_AV_W_MARKET_ST,0,0.0,0.0,0.0,Marina,-117.164209,32.7109322,01ST_AV,W_MARKET_ST,0.0
16TH_ST_C_ST,0,0.0,0.0,0.0,East Village,-117.1499595,32.7162861,16TH_ST,C_ST,0.0
FRONT_ST_W_MARKET_ST__2,0,0.0,0.0,0.0,Marina,-117.1651491,32.7109428,FRONT_ST,W_MARKET_ST,0.0
UNION_ST_W_E_ST,0,0.0,0.0,0.0,Marina,-117.1660529,32.7140915,UNION_ST,W_E_ST,0.0
