point_id,point_type,name,block_id,area,lat,lon,demand_value,demand_date,food_type,quantity_lbs,estimated_meals,available_from,available_until,frequency,data_status,source_file,notes
demand_INDIA_ST_W_B_ST,demand,INDIA_ST_W_B_ST,INDIA_ST_W_B_ST,Columbia,32.7167409,-117.1687224,5,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_KETTNER_BL_W_ASH_ST,demand,KETTNER_BL_W_ASH_ST,KETTNER_BL_W_ASH_ST,Columbia,32.7193394,-117.169622,0,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_KETTNER_BL_W_A_ST,demand,KETTNER_BL_W_A_ST,KETTNER_BL_W_A_ST,Columbia,32.7172597,-117.1696087,5,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_KETTNER_BL_W_BROADWAY,demand,KETTNER_BL_W_BROADWAY,KETTNER_BL_W_BROADWAY,Columbia,32.7151597,-117.169627,0,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_KETTNER_BL_W_E_ST,demand,KETTNER_BL_W_E_ST,KETTNER_BL_W_E_ST,Marina,32.7140949,-117.1701433,0,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_KETTNER_BL_W_F_ST,demand,KETTNER_BL_W_F_ST,KETTNER_BL_W_F_ST,Marina,32.7130513,-117.1701177,0,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_KETTNER_BL_W_G_ST,demand,KETTNER_BL_W_G_ST,KETTNER_BL_W_G_ST,Marina,32.7120006,-117.1701176,4,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_Map_Border_BAY_FRONT_ST,demand,Map_Border_BAY_FRONT_ST,Map_Border_BAY_FRONT_ST,Outside Perimeter,32.6960745,-117.1484226,0,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_Map_Border_BROADWAY,demand,Map_Border_BROADWAY,Map_Border_BROADWAY,City Center,32.7152117,-117.1624423,2,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_Map_Border_HARBOR_DR,demand,Map_Border_HARBOR_DR,Map_Border_HARBOR_DR,Outside Perimeter,32.6961166,-117.1456167,0,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_Map_Border_IMPERIAL_AV,demand,Map_Border_IMPERIAL_AV,Map_Border_IMPERIAL_AV,East Village,32.7058874,-117.1556292,0,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_Map_Border_Map_Border,demand,Map_Border_Map_Border,Map_Border_Map_Border,Outside Perimeter,32.7015111,-117.1511516,0,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_Map_Border_NATIONAL_AV,demand,Map_Border_NATIONAL_AV,Map_Border_NATIONAL_AV,East Village,32.7055029,-117.1524081,4.75,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_NATIONAL_AV_IMPERIAL_AV,demand,NATIONAL_AV_IMPERIAL_AV,NATIONAL_AV_IMPERIAL_AV,East Village,32.7057792,-117.1537259,0,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
