block_id,area,cross_streets,lon,lat,historical_mean,latest_people,historical_max,dates_nonzero,persistence,latest_date
10TH_AV_J_ST,East Village,10TH_AV & J_ST,-117.1568893,32.707721,1.42,1.0,6.0,6,0.5,2025-01-31
09TH_AV_B_ST,City Center,09TH_AV & B_ST,-117.1570047,32.7172966,1.42,0.0,7.0,6,0.5,2025-01-31
07TH_AV_ASH_ST,Cortez,07TH_AV & ASH_ST,-117.158832,32.7193765,1.42,0.0,5.0,5,0.417,2025-01-31
10TH_AV_BROADWAY,City Center,10TH_AV & BROADWAY,-117.1560569,32.7152016,1.33,5.0,5.0,6,0.5,2025-01-31
17TH_ST_G_ST,East Village,17TH_ST & G_ST,-117.1490078,32.7120842,1.33,4.0,4.0,9,0.75,2025-01-31
11TH_AV_G_ST,East Village,11TH_AV & G_ST,-117.1551275,32.7120633,1.33,0.0,10.0,5,0.417,2025-01-31
FRONT_ST_W_C_ST,City Center,FRONT_ST & W_C_ST,-117.1651725,32.7162289,1.33,0.0,9.0,4,0.333,2025-01-31
03RD_AV_CEDAR_ST,Cortez,03RD_AV & CEDAR_ST,-117.1624937,32.7214529,1.25,4.0,4.0,6,0.5,2025-01-31
09TH_AV_G_ST,East Village,09TH_AV & G_ST,-117.156925,32.7120459,1.25,2.0,4.0,6,0.5,2025-01-31
STATE_ST_W_BROADWAY,Columbia,STATE_ST & W_BROADWAY,-117.1678381,32.7151604,1.25,1.0,4.0,7,0.583,2025-01-31
01ST_AV_W_F_ST,City Center,01ST_AV & W_F_ST,-117.164253,32.713081,1.25,0.0,8.0,5,0.417,2025-01-31
01ST_AV_W_B_ST,City Center,01ST_AV & W_B_ST,-117.1642733,32.7172579,1.17,5.0,7.0,3,0.25,2025-01-31
07TH_AV_F_ST,East Village,07TH_AV & F_ST,-117.1587686,32.7130998,1.17,4.0,5.0,5,0.417,2025-01-31
06TH_AV_J_ST,Gaslamp,06TH_AV & J_ST,-117.159649,32.7088562,1.17,2.0,5.0,6,0.5,2025-01-31
COLUMBIA_ST_W_G_ST,Marina,COLUMBIA_ST & W_G_ST,-117.1682576,32.7119064,1.17,1.0,3.0,9,0.75,2025-01-31
08TH_AV_F_ST,East Village,08TH_AV & F_ST,-117.1578741,32.7131096,1.17,0.0,4.0,7,0.583,2025-01-31
14TH_ST_BROADWAY,East Village,14TH_ST & BROADWAY,-117.1524186,32.7152244,1.17,0.0,10.0,3,0.25,2025-01-31
STATE_ST_Map_Border,Marina,STATE_ST & Map_Border,-117.1678267,32.7135653,1.08,2.0,3.0,7,0.583,2025-01-31
14TH_ST_C_ST,East Village,14TH_ST & C_ST,-117.1523968,32.7162585,1.08,0.0,3.0,8,0.667,2025-01-31
06TH_AV_ASH_ST,Cortez,06TH_AV & ASH_ST,-117.159752,32.7193801,1.08,0.0,6.0,6,0.5,2025-01-31
11TH_AV_MARKET_ST,East Village,11TH_AV & MARKET_ST,-117.155121,32.7109849,1.08,0.0,4.0,5,0.417,2025-01-31
05TH_AV_BEECH_ST,Cortez,05TH_AV & BEECH_ST,-117.1606585,32.7204177,1.08,0.0,11.0,3,0.25,2025-01-31
I-5_SB_ON_RA_Map_Border,East Village,I-5_SB_ON_RA & Map_Border,-117.148167,32.706935,1.0,8.0,8.0,4,0.333,2025-01-31
03RD_AV_MARKET_ST,Marina,03RD_AV & MARKET_ST,-117.1623893,32.7109401,1.0,1.0,4.0,6,0.5,2025-01-31
10TH_AV_ISLAND_AV,East Village,10TH_AV & ISLAND_AV,-117.1559891,32.7099117,1.0,1.0,3.0,6,0.5,2025-01-31
01ST_AV_W_C_ST,City Center,01ST_AV & W_C_ST,-117.1642716,32.7162294,1.0,0.0,2.0,8,0.667,2025-01-31
04TH_AV_J_ST,Marina,04TH_AV & J_ST,-117.1614727,32.7088488,1.0,0.0,3.0,7,0.583,2025-01-31
02ND_AV_G_ST,Marina,02ND_AV & G_ST,-117.1633075,32.7120049,1.0,0.0,4.0,6,0.5,2025-01-31
08TH_AV_G_ST,East Village,08TH_AV & G_ST,-117.1578632,32.7120448,1.0,0.0,3.0,6,0.5,2025-01-31
15TH_ST_E_ST,East Village,15TH_ST & E_ST,-117.151182,32.7141905,1.0,0.0,5.0,5,0.417,2025-01-31
07TH_AV_I-5_SB,Cortez,07TH_AV & I-5_SB,-117.1588123,32.7224379,0.92,6.0,6.0,6,0.5,2025-01-31
16TH_ST_E_ST,East Village,16TH_ST & E_ST,-117.149932,32.7141937,0.92,2.0,3.0,7,0.583,2025-01-31
01ST_AV_W_ISLAND_AV,Marina,01ST_AV & W_ISLAND_AV,-117.1643067,32.7097153,0.92,1.0,3.0,7,0.583,2025-01-31
02ND_AV_CEDAR_ST,Cortez,02ND_AV & CEDAR_ST,-117.1634179,32.7214684,0.92,1.0,4.0,6,0.5,2025-01-31
Map_Border_IMPERIAL_AV,East Village,Map_Border & IMPERIAL_AV,-117.1556292,32.7058874,0.92,0.0,2.0,7,0.583,2025-01-31
09TH_AV_ISLAND_AV,East Village,09TH_AV & ISLAND_AV,-117.156932,32.7099196,0.92,0.0,3.0,6,0.5,2025-01-31
04TH_AV_ASH_ST,Cortez,04TH_AV & ASH_ST,-117.1615803,32.719375,0.92,0.0,6.0,4,0.333,2025-01-31
01ST_AV_W_BEECH_ST,Cortez,01ST_AV & W_BEECH_ST,-117.1643077,32.7204067,0.92,0.0,5.0,3,0.25,2025-01-31
01ST_AV_I-5_SB,Cortez,01ST_AV & I-5_SB,-117.1643142,32.7227731,0.92,0.0,10.0,2,0.167,2025-01-31
05TH_AV_J_ST,Gaslamp,05TH_AV & J_ST,-117.160541,32.7088473,0.83,2.0,3.0,6,0.5,2025-01-31
17TH_ST_E_ST,East Village,17TH_ST & E_ST,-117.1489562,32.7141842,0.83,2.0,3.0,6,0.5,2025-01-31
10TH_AV_F_ST,East Village,10TH_AV & F_ST,-117.1560443,32.7131208,0.83,2.0,5.0,5,0.417,2025-01-31
I-5_SB_ON_RA_F_ST,East Village,I-5_SB_ON_RA & F_ST,-117.1482564,32.7131625,0.83,1.0,3.0,5,0.417,2025-01-31
INDIA_ST_W_A_ST,Columbia,INDIA_ST & W_A_ST,-117.1687155,32.7182884,0.83,1.0,5.0,5,0.417,2025-01-31
02ND_AV_BEECH_ST,Cortez,02ND_AV & BEECH_ST,-117.1633936,32.7204076,0.83,0.0,2.0,8,0.667,2025-01-31
07TH_AV_A_ST,City Center,07TH_AV & A_ST,-117.158841,32.7183422,0.83,0.0,3.0,5,0.417,2025-01-31
07TH_AV_MARKET_ST,East Village,07TH_AV & MARKET_ST,-117.1587475,32.7109631,0.83,0.0,5.0,4,0.333,2025-01-31
KETTNER_BL_W_F_ST,Marina,KETTNER_BL & W_F_ST,-117.1701177,32.7130513,0.83,0.0,6.0,4,0.333,2025-01-31
08TH_AV_B_ST,City Center,08TH_AV & B_ST,-117.157879,32.7172848,0.75,3.0,3.0,6,0.5,2025-01-31
11TH_AV_E_ST,East Village,11TH_AV & E_ST,-117.1551235,32.7141652,0.75,2.0,3.0,6,0.5,2025-01-31
16TH_ST_ISLAND_AV,East Village,16TH_ST & ISLAND_AV,-117.1499034,32.7099323,0.75,2.0,3.0,5,0.417,2025-01-31
05TH_AV_K_ST,Gaslamp,05TH_AV & K_ST,-117.1604955,32.7077649,0.75,1.0,2.0,7,0.583,2025-01-31
INDIA_ST_W_ASH_ST,Columbia,INDIA_ST & W_ASH_ST,-117.1687367,32.7193441,0.75,1.0,2.0,7,0.583,2025-01-31
14TH_ST_G_ST,East Village,14TH_ST & G_ST,-117.1524006,32.7120823,0.75,0.0,5.0,3,0.25,2025-01-31
15TH_ST_G_ST,East Village,15TH_ST & G_ST,-117.1511433,32.7120768,0.75,0.0,4.0,3,0.25,2025-01-31
05TH_AV_A_ST,City Center,05TH_AV & A_ST,-117.1606385,32.7183298,0.67,4.0,4.0,3,0.25,2025-01-31
STATE_ST_W_B_ST,Columbia,STATE_ST & W_B_ST,-117.1669394,32.7172463,0.67,2.0,2.0,6,0.5,2025-01-31
CALIFORNIA_ST_W_ASH_ST,Columbia,CALIFORNIA_ST & W_ASH_ST,-117.1705567,32.7177515,0.67,1.0,1.0,8,0.667,2025-01-31
11TH_AV_K_ST,East Village,11TH_AV & K_ST,-117.1551208,32.7080323,0.67,1.0,3.0,6,0.5,2025-01-31
11TH_AV_ISLAND_AV,East Village,11TH_AV & ISLAND_AV,-117.1551035,32.7099236,0.67,1.0,2.0,5,0.417,2025-01-31
08TH_AV_ASH_ST,Cortez,08TH_AV & ASH_ST,-117.1579077,32.7193799,0.67,1.0,5.0,4,0.333,2025-01-31
14TH_ST_E_ST,East Village,14TH_ST & E_ST,-117.1524186,32.7141857,0.67,1.0,4.0,4,0.333,2025-01-31
07TH_AV_J_ST,East Village,07TH_AV & J_ST,-117.1587426,32.7088603,0.67,0.0,2.0,6,0.5,2025-01-31
I-5_SB_MARKET_ST,East Village,I-5_SB & MARKET_ST,-117.1481409,32.7109953,0.67,0.0,2.0,6,0.5,2025-01-31
02ND_AV_C_ST,City Center,02ND_AV & C_ST,-117.163365,32.7162296,0.67,0.0,3.0,5,0.417,2025-01-31
03RD_AV_ISLAND_AV,Marina,03RD_AV & ISLAND_AV,-117.1623956,32.7098903,0.67,0.0,3.0,5,0.417,2025-01-31
08TH_AV_BEECH_ST,Cortez,08TH_AV & BEECH_ST,-117.1579315,32.7204208,0.67,0.0,3.0,4,0.333,2025-01-31
10TH_AV_A_ST,City Center,10TH_AV & A_ST,-117.1560903,32.7183488,0.67,0.0,5.0,4,0.333,2025-01-31
COLUMBIA_ST_W_B_ST,Columbia,COLUMBIA_ST & W_B_ST,-117.167824,32.7172386,0.58,3.0,3.0,4,0.333,2025-01-31
STATE_ST_W_C_ST,Columbia,STATE_ST & W_C_ST,-117.1669388,32.7162225,0.58,3.0,3.0,4,0.333,2025-01-31
04TH_AV_ISLAND_AV,Marina,04TH_AV & ISLAND_AV,-117.1614691,32.7098934,0.58,2.0,3.0,4,0.333,2025-01-31
08TH_AV_C_ST,City Center,08TH_AV & C_ST,-117.1578665,32.7162322,0.58,2.0,2.0,4,0.333,2025-01-31
05TH_AV_I-5_SB,Cortez,05TH_AV & I-5_SB,-117.1606357,32.7222727,0.58,1.0,4.0,4,0.333,2025-01-31
06TH_AV_ISLAND_AV,Gaslamp,06TH_AV & ISLAND_AV,-117.1596516,32.7099052,0.58,0.0,2.0,6,0.5,2025-01-31
13TH_ST_E_ST,East Village,13TH_ST & E_ST,-117.1533283,32.7141815,0.58,0.0,3.0,4,0.333,2025-01-31
14TH_ST_J_ST,East Village,14TH_ST & J_ST,-117.1523555,32.7089017,0.58,0.0,4.0,3,0.25,2025-01-31
09TH_AV_A_ST,City Center,09TH_AV & A_ST,-117.1569918,32.7183434,0.58,0.0,6.0,2,0.167,2025-01-31
KETTNER_BL_W_G_ST,Marina,KETTNER_BL & W_G_ST,-117.1701176,32.7120006,0.5,4.0,4.0,3,0.25,2025-01-31
06TH_AV_I-5_SB,Cortez,06TH_AV & I-5_SB,-117.1597543,32.722368,0.5,3.0,3.0,3,0.25,2025-01-31
03RD_AV_BEECH_ST,Cortez,03RD_AV & BEECH_ST,-117.1624858,32.7204129,0.5,0.0,2.0,5,0.417,2025-01-31
PARK_BL_G_ST,East Village,PARK_BL & G_ST,-117.1541965,32.712061,0.5,0.0,3.0,3,0.25,2025-01-31
COLUMBIA_ST_W_ASH_ST,Columbia,COLUMBIA_ST & W_ASH_ST,-117.1678351,32.7193473,0.42,2.0,2.0,4,0.333,2025-01-31
Map_Border_BROADWAY,City Center,Map_Border & BROADWAY,-117.1624423,32.7152117,0.42,2.0,2.0,4,0.333,2025-01-31
SR-163_NB_ON_RA_ASH_ST,Cortez,SR-163_NB_ON_RA & ASH_ST,-117.1552592,32.7193915,0.42,2.0,3.0,2,0.167,2025-01-31
STATE_ST_W_G_ST,Marina,STATE_ST & W_G_ST,-117.1669646,32.7120126,0.42,0.0,1.0,5,0.417,2025-01-31
04TH_AV_MARKET_ST,Marina,04TH_AV & MARKET_ST,-117.1614943,32.7109505,0.42,0.0,2.0,4,0.333,2025-01-31
07TH_AV_BEECH_ST,Cortez,07TH_AV & BEECH_ST,-117.1588194,32.7204099,0.42,0.0,2.0,4,0.333,2025-01-31
10TH_AV_MARKET_ST,East Village,10TH_AV & MARKET_ST,-117.1560318,32.7109825,0.42,0.0,2.0,4,0.333,2025-01-31
15TH_ST_BROADWAY,East Village,15TH_ST & BROADWAY,-117.151185,32.7152297,0.42,0.0,2.0,4,0.333,2025-01-31
I-5_SB_ISLAND_AV,East Village,I-5_SB & ISLAND_AV,-117.1481553,32.7099349,0.42,0.0,2.0,4,0.333,2025-01-31
15TH_ST_C_ST,East Village,15TH_ST & C_ST,-117.1511898,32.7162738,0.42,0.0,3.0,3,0.25,2025-01-31
