block_id,location,area,lon,lat,historical_demand,rank,priority,persistence,months_nonzero,months_observed,avg_persons,peak_persons,latest_demand,latest_individuals,latest_tents,latest_vehicles,longitudinal_data,business_in_block,nearest_business_m,business_within_200m,business_within_400m,business_within_800m,restaurant_in_block,nearest_restaurant_m,restaurant_within_200m,restaurant_within_400m,restaurant_within_800m,foodsite_in_block,nearest_foodsite_m,foodsite_within_200m,foodsite_within_400m,foodsite_within_800m,unserved_need,supply_within_400m,pantry_within_400m,nearest_pantry_m,pantry_days_per_week,pantry_daily_within_400m,food_access_days_per_week,unserved_need_daily,unserved_need_any
05TH_AV_E_ST,05TH AV & E ST,Gaslamp,-117.1606053,32.7141324,3.06,89,low,0.833,10.0,12.0,3.0625,7.0,2.0,2,0.0,0,True,0,98.3,3,6,12,0,,0,0,0,0,323.2,0,1,4,0.0,6,1,184.1,0.23,0,0.23,3.06,0.0
05TH_AV_F_ST,05TH AV & F ST,Gaslamp,-117.1605939,32.7130875,3.0,90,low,1.0,12.0,12.0,3.0,6.0,2.0,2,0.0,0,True,0,213.8,0,5,15,0,,0,0,0,0,309.4,0,2,3,0.0,5,1,287.4,0.23,0,0.23,3.0,0.0
06TH_AV_G_ST,06TH AV & G ST,Gaslamp,-117.1596875,32.7120348,2.94,91,low,1.0,12.0,12.0,2.9375,4.75,3.0,3,0.0,0,True,0,324.1,0,4,14,0,,0,0,0,0,264.3,0,2,2,0.0,4,1,386.1,0.23,0,0.23,2.94,0.0
13TH_ST_G_ST,13TH ST & G ST,East Village,-117.1533019,32.7120729,2.92,92,low,0.583,7.0,12.0,2.9166666666666665,10.0,0.0,0,0.0,0,True,0,355.4,0,1,10,0,,0,0,0,0,310.3,0,2,3,0.0,1,1,311.3,7.0,1,7.0,0.0,0.0
05TH_AV_MARKET_ST,05TH AV & MARKET ST,Gaslamp,-117.1605705,32.710951,2.88,93,low,0.917,11.0,12.0,2.8775,7.75,3.0,3,0.0,0,True,0,252.3,0,5,14,0,,0,0,0,0,402.8,0,0,2,2.8775,5,0,516.2,0.0,0,0.0,2.88,2.88
02ND_AV_ISLAND_AV,02ND AV & ISLAND AV,Marina,-117.1633191,32.7098806,2.78,94,low,0.583,7.0,12.0,2.775833333333334,13.25,0.0,0,0.0,0,True,0,271.1,0,4,16,0,,0,0,0,0,680.2,0,0,2,2.775833333333334,4,0,720.6,0.0,0,0.0,2.78,2.78
07TH_AV_BROADWAY,07TH AV & BROADWAY,City Center,-117.158807,32.7151884,2.67,95,low,0.417,5.0,12.0,2.6666666666666665,23.25,3.0,3,0.0,0,True,1,38.8,3,4,9,0,,0,0,0,0,253.2,0,2,4,0.0,4,1,73.6,0.23,0,0.23,2.67,0.0
04TH_AV_C_ST,04TH AV & C ST,City Center,-117.1615429,32.7162311,2.62,96,low,0.5,6.0,12.0,2.625,17.5,0.0,0,0.0,0,True,0,87.5,3,5,8,0,,0,0,0,0,369.1,0,1,5,0.0,5,1,207.9,0.23,0,0.23,2.62,0.0
17TH_ST_C_ST,17TH ST & C ST,East Village,-117.1490392,32.7162877,2.59,97,low,0.417,5.0,12.0,2.5908333333333333,24.0,24.0,3,12.0,0,True,0,533.0,0,0,2,0,,0,0,0,0,731.5,0,0,2,2.5908333333333333,0,0,804.9,0.0,0,0.0,2.59,2.59
04TH_AV_CEDAR_ST,04TH AV & CEDAR ST,Cortez,-117.1615802,32.7214559,2.59,97,low,0.667,8.0,12.0,2.588333333333334,8.03,6.0,6,0.0,0,True,0,616.7,0,0,7,0,,0,0,0,1,51.3,2,4,6,0.0,0,0,475.3,0.0,0,0.0,2.59,2.59
15TH_ST_F_ST,15TH ST & F ST,East Village,-117.1511605,32.7131435,2.44,99,low,0.583,7.0,12.0,2.44,17.25,0.0,0,0.0,0,True,0,272.8,0,2,3,0,,0,0,0,0,487.4,0,0,3,2.44,2,0,413.1,0.0,0,0.0,2.44,2.44
I-5_SB_ON_RA_G_ST,I-5 SB ON RA & G ST,East Village,-117.1481739,32.7120816,2.4,100,low,0.333,4.0,12.0,2.395833333333333,24.0,1.0,1,0.0,0,True,0,100.9,1,2,2,0,,0,0,0,0,256.4,0,1,3,0.0,2,0,459.4,0.0,0,0.0,2.4,2.4
06TH_AV_L_ST,06TH AV & L ST,Gaslamp,-117.1597181,32.7068019,2.33,101,low,0.917,11.0,12.0,2.333333333333333,6.0,2.0,2,0.0,0,True,0,77.7,4,8,10,0,,0,0,0,0,732.6,0,0,2,2.333333333333333,8,0,782.8,0.0,0,0.0,2.33,2.33
10TH_AV_E_ST,10TH AV & E ST,East Village,-117.1560379,32.7141601,2.25,102,low,0.5,6.0,12.0,2.25,11.5,4.0,4,0.0,0,True,0,322.2,0,2,11,0,,0,0,0,0,152.1,2,2,2,0.0,2,1,356.9,0.23,0,0.23,2.25,0.0
05TH_AV_G_ST,05TH AV & G ST,Gaslamp,-117.1605939,32.7120267,2.23,103,low,0.833,10.0,12.0,2.2291666666666665,6.75,0.0,0,0.0,0,True,0,331.6,0,6,14,0,,0,0,0,0,339.5,0,2,2,0.0,6,1,400.0,0.23,0,0.23,2.23,0.0
16TH_ST_BROADWAY,16TH ST & BROADWAY,East Village,-117.149933,32.7152315,2.02,104,low,0.417,5.0,12.0,2.020833333333333,7.0,1.0,1,0.0,0,True,0,424.5,0,0,2,0,,0,0,0,0,636.8,0,0,3,2.020833333333333,0,0,666.8,0.0,0,0.0,2.02,2.02
STATE_ST_W_ASH_ST,STATE ST & W ASH ST,Columbia,-117.1669349,32.7193487,2.02,104,low,0.417,5.0,12.0,2.020833333333333,11.75,0.0,0,0.0,0,True,0,261.8,0,2,7,0,,0,0,0,0,443.8,0,0,6,2.020833333333333,2,1,353.2,0.46,0,0.46,2.02,0.0
13TH_ST_F_ST,13TH ST & F ST,East Village,-117.1532985,32.7131305,1.98,106,low,0.583,7.0,12.0,1.9791666666666667,8.5,1.0,1,0.0,0,True,0,425.7,0,0,9,0,,0,0,0,0,302.1,0,2,3,0.0,0,0,422.1,0.0,0,0.0,1.98,1.98
05TH_AV_C_ST,05TH AV & C ST,City Center,-117.1606236,32.7162302,1.96,107,low,0.833,10.0,12.0,1.9583333333333333,5.0,1.0,1,0.0,0,True,0,97.6,4,5,9,0,,0,0,0,0,392.8,0,1,5,0.0,5,1,133.0,0.23,0,0.23,1.96,0.0
06TH_AV_CEDAR_ST,06TH AV & CEDAR ST,Cortez,-117.1597531,32.7214606,1.94,108,low,0.417,5.0,12.0,1.9375,7.0,2.0,2,0.0,0,True,0,586.1,0,0,5,0,,0,0,0,0,171.5,1,4,6,0.0,0,0,642.5,0.0,0,0.0,1.94,1.94
15TH_ST_ISLAND_AV,15TH ST & ISLAND AV,East Village,-117.1511399,32.7099405,1.94,108,low,0.417,5.0,12.0,1.9383333333333328,7.979999999999999,2.0,2,0.0,0,True,0,123.6,1,2,6,0,,0,0,0,0,313.2,0,1,4,0.0,2,1,94.3,7.0,1,7.0,0.0,0.0
06TH_AV_A_ST,06TH AV & A ST,City Center,-117.1597219,32.7183308,1.9,110,low,0.5,6.0,12.0,1.8958333333333333,9.75,1.0,1,0.0,0,True,0,238.1,0,4,7,0,,0,0,0,0,266.1,0,2,6,0.0,4,1,315.8,0.23,0,0.23,1.9,0.0
07TH_AV_E_ST,07TH AV & E ST,East Village,-117.1587996,32.7141496,1.86,111,low,0.5,6.0,12.0,1.856666666666667,9.0,0.0,0,0.0,0,True,0,133.4,1,4,11,0,,0,0,0,0,169.3,1,2,3,0.0,4,1,164.0,0.23,0,0.23,1.86,0.0
05TH_AV_ISLAND_AV,05TH AV & ISLAND AV,Gaslamp,-117.1605805,32.709901,1.83,112,low,0.667,8.0,12.0,1.8333333333333333,7.0,1.0,1,0.0,0,True,0,163.6,1,5,14,0,,0,0,0,0,487.4,0,0,2,1.8333333333333333,5,0,631.4,0.0,0,0.0,1.83,1.83
03RD_AV_G_ST,03RD AV & G ST,Marina,-117.1624121,32.7120133,1.8,113,low,0.667,8.0,12.0,1.805,4.0,0.0,0,0.0,0,True,0,168.7,1,2,17,0,,0,0,0,0,499.8,0,0,2,1.805,2,0,474.4,0.0,0,0.0,1.8,1.8
10TH_AV_BROADWAY,10TH AV & BROADWAY,City Center,-117.1560569,32.7152016,1.77,114,low,0.5,6.0,12.0,1.7708333333333333,8.0,6.5,3,2.0,0,True,0,294.6,0,2,9,0,,0,0,0,0,241.6,0,2,3,0.0,2,1,324.2,0.23,0,0.23,1.77,0.0
S_17TH_ST_COMMERCIAL_ST,S 17TH ST & COMMERCIAL ST,Outside Perimeter,-117.1488823,32.7049507,1.75,115,low,,,,,,1.75,0,1.0,0,False,0,626.6,0,0,2,0,,0,0,0,0,120.6,1,1,2,0.0,0,0,584.6,0.0,0,0.0,1.75,1.75
PARK_BL_BROADWAY,PARK BL & BROADWAY,City Center,-117.1542276,32.7152116,1.73,116,low,0.75,9.0,12.0,1.7291666666666667,7.0,1.0,1,0.0,0,True,0,465.8,0,0,7,0,,0,0,0,0,342.6,0,2,2,0.0,0,0,494.9,0.0,0,0.0,1.73,1.73
17TH_ST_G_ST,17TH ST & G ST,East Village,-117.1490078,32.7120842,1.71,117,low,0.75,9.0,12.0,1.7083333333333333,5.5,5.5,2,2.0,0,True,0,65.0,2,2,2,0,,0,0,0,0,278.3,0,1,3,0.0,2,0,401.6,0.0,0,0.0,1.71,1.71
PARK_BL_E_ST,PARK BL & E ST,East Village,-117.154232,32.7141746,1.69,118,low,0.583,7.0,12.0,1.6875,5.0,4.0,4,0.0,0,True,0,481.9,0,0,9,0,,0,0,0,0,261.8,0,2,3,0.0,0,0,515.0,0.0,0,0.0,1.69,1.69
06TH_AV_E_ST,06TH AV & E ST,Gaslamp,-117.1596919,32.7141385,1.67,119,low,0.667,8.0,12.0,1.6666666666666667,7.0,0.0,0,0.0,0,True,0,137.3,2,4,12,0,,0,0,0,0,242.7,0,2,4,0.0,4,1,152.6,0.23,0,0.23,1.67,0.0
07TH_AV_C_ST,07TH AV & C ST,City Center,-117.1588143,32.7162388,1.67,119,low,0.667,8.0,12.0,1.6666666666666667,5.0,0.0,0,0.0,0,True,0,64.4,2,4,8,0,,0,0,0,0,356.6,0,1,5,0.0,4,1,104.4,0.23,0,0.23,1.67,0.0
PARK_BL_MARKET_ST,PARK BL & MARKET ST,East Village,-117.1541961,32.7109863,1.67,119,low,0.833,10.0,12.0,1.6666666666666667,4.0,1.0,1,0.0,0,True,0,396.7,0,1,11,0,,0,0,0,0,295.5,0,2,3,0.0,1,1,264.0,7.0,1,7.0,0.0,0.0
06TH_AV_B_ST,06TH AV & B ST,City Center,-117.1597396,32.7172918,1.65,122,low,0.5,6.0,12.0,1.6458333333333333,7.0,7.0,7,0.0,0,True,0,123.6,1,4,8,0,,0,0,0,0,336.9,0,1,6,0.0,4,1,200.7,0.23,0,0.23,1.65,0.0
09TH_AV_B_ST,09TH AV & B ST,City Center,-117.1570047,32.7172966,1.6,123,low,0.5,6.0,12.0,1.596666666666667,7.0,0.0,0,0.0,0,True,0,263.7,0,2,5,0,,0,0,0,0,445.8,0,0,5,1.596666666666667,2,1,307.6,0.23,0,0.23,1.6,0.0
07TH_AV_B_ST,07TH AV & B ST,City Center,-117.1588132,32.7172886,1.58,124,low,0.583,7.0,12.0,1.5833333333333333,4.0,3.0,3,0.0,0,True,0,137.2,1,4,7,0,,0,0,0,0,401.5,0,0,5,1.5833333333333333,4,1,209.2,0.23,0,0.23,1.58,0.0
07TH_AV_G_ST,07TH AV & G ST,East Village,-117.1587796,32.7120424,1.58,124,low,0.667,8.0,12.0,1.5833333333333333,7.0,0.0,0,0.0,0,True,0,306.4,0,4,14,0,,0,0,0,0,197.0,1,2,2,0.0,4,1,390.8,0.23,0,0.23,1.58,0.0
01ST_AV_I-5_SB,01ST AV & I-5 SB,Cortez,-117.1643142,32.7227731,1.54,126,low,0.167,2.0,12.0,1.5416666666666667,17.5,0.0,0,0.0,0,True,0,683.5,0,0,2,0,,0,0,0,0,292.8,0,5,6,0.0,0,1,207.0,0.46,0,0.46,1.54,0.0
08TH_AV_F_ST,08TH AV & F ST,East Village,-117.1578741,32.7131096,1.54,126,low,0.583,7.0,12.0,1.5416666666666667,5.5,0.0,0,0.0,0,True,0,273.6,0,3,13,0,,0,0,0,0,57.8,2,2,2,0.0,3,1,306.6,0.23,0,0.23,1.54,0.0
05TH_AV_BEECH_ST,05TH AV & BEECH ST,Cortez,-117.1606585,32.7204177,1.52,128,low,0.25,3.0,12.0,1.5208333333333333,16.25,0.0,0,0.0,0,True,0,481.9,0,0,7,0,,0,0,0,0,102.0,2,3,6,0.0,0,0,558.1,0.0,0,0.0,1.52,1.52
COLUMBIA_ST_W_C_ST,COLUMBIA ST & W C ST,Columbia,-117.1678207,32.7162135,1.5,129,low,0.583,7.0,12.0,1.5,7.0,2.0,2,0.0,0,True,0,65.3,2,3,11,0,,0,0,0,0,641.1,0,0,2,1.5,3,0,710.7,0.0,0,0.0,1.5,1.5
14TH_ST_BROADWAY,14TH ST & BROADWAY,East Village,-117.1524186,32.7152244,1.48,130,low,0.25,3.0,12.0,1.4791666666666667,13.75,0.0,0,0.0,0,True,0,523.9,0,0,5,0,,0,0,0,0,467.9,0,0,3,1.4791666666666667,0,0,638.4,0.0,0,0.0,1.48,1.48
11TH_AV_G_ST,11TH AV & G ST,East Village,-117.1551275,32.7120633,1.46,131,low,0.417,5.0,12.0,1.4583333333333333,10.75,0.0,0,0.0,0,True,0,440.9,0,0,12,0,,0,0,0,0,152.5,1,2,3,0.0,0,0,408.9,0.0,0,0.0,1.46,1.46
14TH_ST_C_ST,14TH ST & C ST,East Village,-117.1523968,32.7162585,1.45,132,low,0.667,8.0,12.0,1.4508333333333334,5.25,0.0,0,0.0,0,True,0,617.9,0,0,5,0,,0,0,0,0,544.0,0,0,2,1.4508333333333334,0,0,670.7,0.0,0,0.0,1.45,1.45
09TH_AV_G_ST,09TH AV & G ST,East Village,-117.156925,32.7120459,1.44,133,low,0.5,6.0,12.0,1.4375,6.25,2.0,2,0.0,0,True,0,339.4,0,1,14,0,,0,0,0,0,92.9,2,2,2,0.0,1,0,453.9,0.0,0,0.0,1.44,1.44
10TH_AV_J_ST,10TH AV & J ST,East Village,-117.1568893,32.707721,1.42,134,low,0.5,6.0,12.0,1.4166666666666667,6.0,1.0,1,0.0,0,True,1,17.0,2,6,9,0,,0,0,0,0,566.6,0,0,2,1.4166666666666667,6,0,498.9,0.0,0,0.0,1.42,1.42
07TH_AV_ASH_ST,07TH AV & ASH ST,Cortez,-117.158832,32.7193765,1.42,134,low,0.417,5.0,12.0,1.4166666666666667,5.0,0.0,0,0.0,0,True,0,359.1,0,1,6,0,,0,0,0,0,308.4,0,2,7,0.0,1,0,436.0,0.0,0,0.0,1.42,1.42
FRONT_ST_W_C_ST,FRONT ST & W C ST,City Center,-117.1651725,32.7162289,1.4,136,low,0.333,4.0,12.0,1.3958333333333333,9.75,0.0,0,0.0,0,True,0,136.5,2,4,9,0,,0,0,0,0,458.4,0,0,2,1.3958333333333333,4,0,537.5,0.0,0,0.0,1.4,1.4
03RD_AV_CEDAR_ST,03RD AV & CEDAR ST,Cortez,-117.1624937,32.7214529,1.38,137,low,0.5,6.0,12.0,1.375,4.75,4.75,3,1.0,0,True,0,639.1,0,0,7,0,,0,0,0,0,105.9,1,4,6,0.0,0,1,392.9,0.46,0,0.46,1.38,0.0
15TH_ST_E_ST,15TH ST & E ST,East Village,-117.151182,32.7141905,1.31,138,low,0.417,5.0,12.0,1.3125,6.5,0.0,0,0.0,0,True,0,362.6,0,1,3,0,,0,0,0,0,521.6,0,0,3,1.3125,1,0,527.7,0.0,0,0.0,1.31,1.31
I-5_SB_ON_RA_Map_Border,I-5 SB ON RA & Map Border,East Village,-117.148167,32.706935,1.31,138,low,0.333,4.0,12.0,1.3125,9.5,9.5,6,2.0,0,True,0,432.4,0,0,2,0,,0,0,0,0,320.8,0,2,2,0.0,0,0,458.7,0.0,0,0.0,1.31,1.31
COLUMBIA_ST_W_G_ST,COLUMBIA ST & W G ST,Marina,-117.1682576,32.7119064,1.29,140,low,0.75,9.0,12.0,1.2916666666666667,3.0,1.0,1,0.0,0,True,0,224.3,0,2,11,0,,0,0,0,0,1018.1,0,0,0,1.2916666666666667,2,0,912.6,0.0,0,0.0,1.29,1.29
01ST_AV_W_F_ST,01ST AV & W F ST,City Center,-117.164253,32.713081,1.25,141,low,0.417,5.0,12.0,1.25,8.0,0.0,0,0.0,0,True,0,98.2,1,4,14,0,,0,0,0,0,651.7,0,0,3,1.25,4,0,520.3,0.0,0,0.0,1.25,1.25
STATE_ST_W_BROADWAY,STATE ST & W BROADWAY,Columbia,-117.1678381,32.7151604,1.25,141,low,0.583,7.0,12.0,1.25,4.0,1.0,1,0.0,0,True,0,182.6,1,3,10,0,,0,0,0,0,715.7,0,0,1,1.25,3,0,781.9,0.0,0,0.0,1.25,1.25
01ST_AV_W_B_ST,01ST AV & W B ST,City Center,-117.1642733,32.7172579,1.23,143,low,0.25,3.0,12.0,1.2291666666666667,7.0,5.75,4,1.0,0,True,0,197.4,1,4,8,0,,0,0,0,0,316.2,0,1,4,0.0,4,0,488.0,0.0,0,0.0,1.23,1.23
KETTNER_BL_W_F_ST,KETTNER BL & W F ST,Marina,-117.1701177,32.7130513,1.21,144,low,0.333,4.0,12.0,1.2083333333333333,10.5,0.0,0,0.0,0,True,0,209.2,0,3,8,0,,0,0,0,0,1032.1,0,0,0,1.2083333333333333,3,0,1031.2,0.0,0,0.0,1.21,1.21
STATE_ST_Map_Border,STATE ST & Map Border,Marina,-117.1678267,32.7135653,1.17,145,low,0.583,7.0,12.0,1.169166666666667,4.029999999999999,2.0,2,0.0,0,True,0,360.1,0,4,9,0,,0,0,0,0,845.1,0,0,0,1.169166666666667,4,0,809.1,0.0,0,0.0,1.17,1.17
06TH_AV_J_ST,06TH AV & J ST,Gaslamp,-117.159649,32.7088562,1.17,145,low,0.5,6.0,12.0,1.1666666666666667,5.0,2.0,2,0.0,0,True,1,45.0,4,7,12,0,,0,0,0,0,528.9,0,0,2,1.1666666666666667,7,0,720.0,0.0,0,0.0,1.17,1.17
07TH_AV_F_ST,07TH AV & F ST,East Village,-117.1587686,32.7130998,1.17,145,low,0.417,5.0,12.0,1.1666666666666667,5.0,4.0,4,0.0,0,True,0,248.2,0,4,12,0,,0,0,0,0,139.3,1,2,3,0.0,4,1,275.8,0.23,0,0.23,1.17,0.0
I-5_SB_ON_RA_F_ST,I-5 SB ON RA & F ST,East Village,-117.1482564,32.7131625,1.16,148,low,0.417,5.0,12.0,1.1616666666666666,4.779999999999999,1.0,1,0.0,0,True,0,197.7,1,2,2,0,,0,0,0,0,376.7,0,1,2,0.0,2,0,537.8,0.0,0,0.0,1.16,1.16
17TH_ST_E_ST,17TH ST & E ST,East Village,-117.1489562,32.7141842,1.13,149,low,0.5,6.0,12.0,1.13,4.5,3.03,1,0.0,1,True,0,298.8,0,1,2,0,,0,0,0,0,499.9,0,0,3,1.13,1,0,594.3,0.0,0,0.0,1.13,1.13
01ST_AV_W_BEECH_ST,01ST AV & W BEECH ST,Cortez,-117.1643077,32.7204067,1.1,150,low,0.25,3.0,12.0,1.1041666666666667,6.25,0.0,0,0.0,0,True,0,445.3,0,0,7,0,,0,0,0,0,221.7,0,2,6,0.0,0,1,310.6,0.46,0,0.46,1.1,0.0
01ST_AV_W_ISLAND_AV,01ST AV & W ISLAND AV,Marina,-117.1643067,32.7097153,1.1,150,low,0.583,7.0,12.0,1.1041666666666667,4.5,1.0,1,0.0,0,True,0,276.8,0,2,16,0,,0,0,0,0,768.1,0,0,1,1.1041666666666667,2,0,785.7,0.0,0,0.0,1.1,1.1
06TH_AV_ASH_ST,06TH AV & ASH ST,Cortez,-117.159752,32.7193801,1.08,152,low,0.5,6.0,12.0,1.0833333333333333,6.0,0.0,0,0.0,0,True,0,354.8,0,1,6,0,,0,0,0,0,229.7,0,2,7,0.0,1,0,432.6,0.0,0,0.0,1.08,1.08
11TH_AV_MARKET_ST,11TH AV & MARKET ST,East Village,-117.155121,32.7109849,1.08,152,low,0.417,5.0,12.0,1.0833333333333333,4.0,0.0,0,0.0,0,True,0,367.9,0,1,12,0,,0,0,0,0,239.8,0,2,3,0.0,1,1,335.8,7.0,1,7.0,0.0,0.0
04TH_AV_J_ST,04TH AV & J ST,Marina,-117.1614727,32.7088488,1.06,154,low,0.583,7.0,12.0,1.055,3.66,0.0,0,0.0,0,True,0,148.1,1,6,14,0,,0,0,0,0,631.1,0,0,2,1.055,6,0,763.1,0.0,0,0.0,1.06,1.06
08TH_AV_G_ST,08TH AV & G ST,East Village,-117.1578632,32.7120448,1.06,154,low,0.5,6.0,12.0,1.0625,3.75,0.0,0,0.0,0,True,0,311.3,0,3,15,0,,0,0,0,0,149.4,2,2,2,0.0,3,0,414.1,0.0,0,0.0,1.06,1.06
02ND_AV_CEDAR_ST,02ND AV & CEDAR ST,Cortez,-117.1634179,32.7214684,1.06,154,low,0.5,6.0,12.0,1.065,4.0,1.0,1,0.0,0,True,0,589.7,0,0,7,0,,0,0,0,0,187.1,1,4,6,0.0,0,1,310.7,0.46,0,0.46,1.06,0.0
19TH_ST_J_ST,19TH ST & J ST,Outside Perimeter,-117.1470956,32.707881,1.0,157,low,,,,,,1.0,1,0.0,0,False,0,398.8,0,1,2,0,,0,0,0,0,223.6,0,1,3,0.0,1,0,493.5,0.0,0,0.0,1.0,1.0
02ND_AV_G_ST,02ND AV & G ST,Marina,-117.1633075,32.7120049,1.0,157,low,0.5,6.0,12.0,1.0,4.0,0.0,0,0.0,0,True,0,86.4,1,2,17,0,,0,0,0,0,580.9,0,0,2,1.0,2,0,527.8,0.0,0,0.0,1.0,1.0
01ST_AV_W_C_ST,01ST AV & W C ST,City Center,-117.1642716,32.7162294,1.0,157,low,0.667,8.0,12.0,1.0,2.0,0.0,0,0.0,0,True,0,85.1,1,5,8,0,,0,0,0,0,412.6,0,0,3,1.0,5,0,454.3,0.0,0,0.0,1.0,1.0
10TH_AV_ISLAND_AV,10TH AV & ISLAND AV,East Village,-117.1559891,32.7099117,1.0,157,low,0.5,6.0,12.0,1.0,3.0,1.0,1,0.0,0,True,0,244.8,0,3,14,0,,0,0,0,0,325.1,0,2,3,0.0,3,1,376.4,7.0,1,7.0,0.0,0.0
03RD_AV_MARKET_ST,03RD AV & MARKET ST,Marina,-117.1623893,32.7109401,1.0,157,low,0.5,6.0,12.0,1.0,4.0,1.0,1,0.0,0,True,0,220.1,0,3,17,0,,0,0,0,0,544.3,0,0,2,1.0,3,0,575.2,0.0,0,0.0,1.0,1.0
07TH_AV_I-5_SB,07TH AV & I-5 SB,Cortez,-117.1588123,32.7224379,0.98,162,low,0.5,6.0,12.0,0.9791666666666666,6.0,6.0,6,0.0,0,True,0,697.4,0,0,2,0,,0,0,0,0,232.2,0,3,6,0.0,0,0,720.1,0.0,0,0.0,0.98,0.98
Map_Border_IMPERIAL_AV,Map Border & IMPERIAL AV,East Village,-117.1556292,32.7058874,0.98,162,low,0.583,7.0,12.0,0.9791666666666666,2.0,0.0,0,0.0,0,True,0,229.9,0,2,9,0,,0,0,0,0,611.3,0,0,2,0.9791666666666666,2,0,526.6,0.0,0,0.0,0.98,0.98
04TH_AV_ASH_ST,04TH AV & ASH ST,Cortez,-117.1615803,32.719375,0.98,162,low,0.333,4.0,12.0,0.9791666666666666,6.0,0.0,0,0.0,0,True,0,403.6,0,0,7,0,,0,0,0,0,59.7,2,2,7,0.0,0,0,473.3,0.0,0,0.0,0.98,0.98
07TH_AV_MARKET_ST,07TH AV & MARKET ST,East Village,-117.1587475,32.7109631,0.96,165,low,0.333,4.0,12.0,0.9583333333333334,6.5,0.0,0,0.0,0,True,0,186.6,1,4,14,0,,0,0,0,0,293.4,0,2,2,0.0,4,0,509.9,0.0,0,0.0,0.96,0.96
10TH_AV_F_ST,10TH AV & F ST,East Village,-117.1560443,32.7131208,0.96,165,low,0.417,5.0,12.0,0.9583333333333334,6.5,2.0,2,0.0,0,True,0,382.4,0,1,14,0,,0,0,0,0,55.7,2,2,2,0.0,1,0,418.2,0.0,0,0.0,0.96,0.96
11TH_AV_E_ST,11TH AV & E ST,East Village,-117.1551235,32.7141652,0.94,167,low,0.5,6.0,12.0,0.9375,4.5,2.75,1,1.0,0,True,0,402.2,0,0,9,0,,0,0,0,0,199.3,1,2,2,0.0,0,0,436.0,0.0,0,0.0,0.94,0.94
I-5_SB_MARKET_ST,I-5 SB & MARKET ST,East Village,-117.1481409,32.7109953,0.93,168,low,0.5,6.0,12.0,0.9325,2.75,0.0,0,0.0,0,True,0,98.1,2,2,2,0,,0,0,0,0,136.8,1,1,3,0.0,2,1,398.0,7.0,1,7.0,0.0,0.0
16TH_ST_E_ST,16TH ST & E ST,East Village,-117.149932,32.7141937,0.92,169,low,0.583,7.0,12.0,0.9166666666666666,3.0,2.0,2,0.0,0,True,0,312.3,0,1,2,0,,0,0,0,0,528.3,0,0,3,0.9166666666666666,1,0,557.3,0.0,0,0.0,0.92,0.92
09TH_AV_ISLAND_AV,09TH AV & ISLAND AV,East Village,-117.156932,32.7099196,0.92,169,low,0.5,6.0,12.0,0.9166666666666666,3.0,0.0,0,0.0,0,True,0,162.3,1,5,15,0,,0,0,0,0,323.2,0,2,2,0.0,5,0,464.3,0.0,0,0.0,0.92,0.92
02ND_AV_BEECH_ST,02ND AV & BEECH ST,Cortez,-117.1633936,32.7204076,0.9,171,low,0.667,8.0,12.0,0.8958333333333334,2.0,0.0,0,0.0,0,True,0,495.7,0,0,7,0,,0,0,0,0,150.7,2,3,6,0.0,0,1,372.7,0.46,0,0.46,0.9,0.0
INDIA_ST_W_A_ST,INDIA ST & W A ST,Columbia,-117.1687155,32.7182884,0.9,171,low,0.417,5.0,12.0,0.8958333333333334,5.0,1.75,0,1.0,0,True,0,186.6,1,2,8,0,,0,0,0,0,625.0,0,0,2,0.8958333333333334,2,0,512.7,0.0,0,0.0,0.9,0.9
INDIA_ST_W_ASH_ST,INDIA ST & W ASH ST,Columbia,-117.1687367,32.7193441,0.88,173,low,0.583,7.0,12.0,0.875,2.75,1.0,1,0.0,0,True,0,296.5,0,2,4,0,,0,0,0,0,612.5,0,0,3,0.875,2,0,409.0,0.0,0,0.0,0.88,0.88
05TH_AV_J_ST,05TH AV & J ST,Gaslamp,-117.160541,32.7088473,0.83,174,low,0.5,6.0,12.0,0.8333333333333334,3.0,2.0,2,0.0,0,True,0,116.6,4,8,13,0,,0,0,0,0,580.4,0,0,2,0.8333333333333334,8,0,747.0,0.0,0,0.0,0.83,0.83
07TH_AV_A_ST,07TH AV & A ST,City Center,-117.158841,32.7183422,0.83,174,low,0.417,5.0,12.0,0.8333333333333334,3.0,0.0,0,0.0,0,True,0,246.3,0,3,6,0,,0,0,0,0,340.0,0,2,6,0.0,3,1,322.4,0.23,0,0.23,0.83,0.0
14TH_ST_J_ST,14TH ST & J ST,East Village,-117.1523555,32.7089017,0.83,174,low,0.25,3.0,12.0,0.8333333333333334,7.0,0.0,0,0.0,0,True,0,283.4,0,1,8,0,,0,0,0,0,438.2,0,0,4,0.8333333333333334,1,1,74.5,7.0,1,7.0,0.0,0.0
05TH_AV_A_ST,05TH AV & A ST,City Center,-117.1606385,32.7183298,0.79,177,low,0.25,3.0,12.0,0.7916666666666666,5.5,5.5,2,2.0,0,True,0,260.0,0,4,8,0,,0,0,0,0,195.9,1,2,6,0.0,4,1,332.6,0.23,0,0.23,0.79,0.0
